,Reconstructed Path,Original Path,Corrupted Path,Partial or Full,Run Time,Run Time (learning),Run Time (reconstruction),RMSE,PSNR,SSIM,Luminance Dist.,Contrast Dist.,Structural Comp.,RMSE Gain,PSNR Gain,SSIM Gain,Luminance Dist. Gain,Contrast Dist. Gain,Structural Comp. Gain,param: K,param: N,param: Iters,param: L,param: other
28,Reconstructed Images/easter_egg_breadK256L4.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,300.2795605659485,228.1545233726501,72.12503719329834,6.759661031578744,31.49817596328753,0.9909659874165472,0.9992350172196904,0.9998266851012428,0.9918965501388828,-0.5990752729779025,0.7375664418819987,,,,,256.0,1000.0,10.0,4.0,
29,Reconstructed Images/easter_egg_breadK128L8.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,332.2768406867981,258.3739986419678,73.90284204483032,6.26231392020881,32.16197764551835,0.9926840060745494,0.9992102539847252,0.999964498633628,0.9935038646826048,-1.2966895414475823,1.6345941976653968,,,,,128.0,1000.0,10.0,8.0,
30,Reconstructed Images/easter_egg_breadK64L16.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,463.1461951732636,360.56800961494446,102.57818555831908,6.29998732530587,32.10988081810572,0.9925422911382596,0.9992319581341436,0.9999922619707587,0.993312877394696,-1.4311898166305372,1.778118970350313,,,,,64.0,1000.0,10.0,16.0,
31,Reconstructed Images/easter_egg_breadK512L4.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,600.7354393005371,452.99700832366943,147.73843097686768,6.745121250011524,31.51687911365574,0.991105017295982,0.9992092629998794,0.9998623940164086,0.9920258495906362,-0.7617689183604632,0.9294060182092494,,,,,512.0,1000.0,10.0,4.0,
32,Reconstructed Images/easter_egg_breadK256L8.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,685.6162776947021,518.6017174720764,167.01456022262573,6.302503051601574,32.10641303981734,0.9924527664522494,0.9992472777096876,0.999966033261908,0.9932341074326698,-1.2630548701029891,1.5865579187351957,,,,,256.0,1000.0,10.0,8.0,
33,Reconstructed Images/easter_egg_breadK128L16.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,1002.6707308292388,781.583044052124,221.08768677711487,6.283769093418509,32.132269975303096,0.9926340882783656,0.9992246254025968,0.9999993760164392,0.9934049686437254,-1.191050859820053,1.5076103674311554,,,,,128.0,1000.0,10.0,16.0,
34,Reconstructed Images/easter_egg_breadK512L8.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,1381.3620300292969,1044.5179557800293,336.8440742492676,6.167640948676802,32.294292668853245,0.9929864235418714,0.9992133040318096,0.9999843449059932,0.9937837747699108,-1.2121896726857244,1.5585462204715164,,,,,512.0,1000.0,10.0,8.0,
35,Reconstructed Images/easter_egg_breadK256L16.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,2063.742329835892,1611.0959451198578,452.64638471603394,6.746714049278049,31.514828261654955,0.9912019371594684,0.9992251790402968,0.9999988794540846,0.9919716482725078,-1.0123086555046434,1.2142943836752806,,,,,256.0,1000.0,10.0,16.0,
36,Reconstructed Images/easter_egg_breadK512L16.jpg,Compressed Images/easter_egg_bread.jpg,,0.1,4191.608919382095,3274.295999526977,917.3129198551178,6.683353224960928,31.596786035863765,0.9913732887978692,0.9992374139826652,0.9999932534269628,0.9921365666883364,-0.7880812647025746,0.9681915607510838,,,,,512.0,1000.0,10.0,16.0,
37,Reconstructed Images/easter_egg_breadK32L8.jpg,Compressed Images/easter_egg_bread.jpg,,0.2,97.04007959365845,61.90534567832947,35.13473391532898,6.3887775845039,31.98831895042276,0.9922007134955882,0.9992232692813631,0.9999371242755266,0.9930344230981265,-0.7666446019688635,0.9843498826546906,,,,,32.0,1000.0,10.0,8.0,
